Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
7112 Industrial Spraypainters,Male,"d. $80,001 to $180,000",1174,1174,128355237,1174,33341665.61,1144,2496884.99,156,216459.04,1144,2712258.05,1174,35558171.85,6,19823.33,1172,125263192,1171,38110955.39,437,2394384,112,680094,223,2379581,35,86520,1,4539,2,12264,2,62468,537,231877,39,2924,97,447209,97,191638,1174,133877312,628,1943300,227,680205,1106,420051,64,127570,991,1666922,1145,4838048,54,20290,12,11873,5,23530,550,136443,896,248333,1156,5521916,22,249626,120,748331,1,-11437,53,541963,28,19229.85,16,443066,1,16672,14,75952,23,465075,23,130097.59,27,1097840,37,543786,30,148338,27,8356,29,43805.14,169,2831871,165,1927151,82,241374,173,1414682,32,334526,141,-1085862,173,-751336,10,156619,5,3643,0,0,110,243354,42,868031,41,457644,47,390873,28,133360.03,2,1839,31,7444.52,0,0,252,361035.09,7,45256,1,1821.96,3,13224.72,630,540,287704,106,20788.21,174,46574.93
7112 Industrial Spraypainters,Male,"e. $180,000 or more",243,243,52164011,243,17045725.95,242,1038810.52,86,195813.7,242,1234624.22,243,18128225.39,1,1881,243,48233468,243,17958946.34,95,953896,32,245908,104,2098435,3,1994,1,4102,1,8384,0,0,150,51551,6,25902,11,709117,11,303903,243,53373975,104,216242,61,136747,221,102397,28,106708,216,437011,237,999105,15,12349,3,337,1,4982,115,39241,198,84069,240,1209964,9,106464,47,395723,0,0,13,331825,10,23676.98,3,71284,0,0,2,35291,6,239675,6,83565.32,6,479546,7,420181,11,206233,10,1158,12,59479.46,46,656917,43,609641,27,97840,47,427947,6,15370,41,-493881,47,-478511,4,3782,1,182,0,0,25,69881,6,52790,7,82105,7,-29315,4,7182.1,1,1257,3,224.41,0,0,59,243144.86,2,7467,0,0,0,0,180,135,66438,28,4275.11,120,45369.89
7113 Paper and Wood Processing Machine Operators,Female,All,691,690,30532314,619,4712433.72,531,526025.25,7,7559.06,531,533584.31,578,4940816.68,1,1536,686,29540091,678,5581339.1,82,68284,14,185076,12,277366,52,276635,24,204587,10,42711,2,6024,290,236323,33,5562,79,97778,79,41687,690,31431542,83,133553,24,17279,565,183876,5,3993,446,294112,596,632813,4,3275,10,1086,4,7815,313,79142,435,74179,616,849028,2,30149,59,217897,2,14405,19,79516,8,1125.42,6,68850,0,0,3,55967,10,269467,9,79913.58,14,553283,16,276326,13,31422,9,9459,7,873.37,71,959157,68,647852,35,94984,71,474123,20,91745,52,-349547,72,-257802,4,4436,1,179,1,30000,20,19869,8,131471,8,122581,9,-4590,3,750.36,8,6222,3,60.46,518,164571.76,20,96797.01,30,635176,4,28286,1,11255.7,228,212,106207,18,4962.57,28,3203.5
7113 Paper and Wood Processing Machine Operators,Male,All,5489,5488,340346140,5220,67864513.68,4833,6370721.9,83,86007.05,4832,6455979.35,5095,72724346.34,38,132285.04,5465,341373773,5439,79241308.14,795,1287708,105,1101735,142,1430796,409,2169739,54,464349,51,455783,8,120516,2239,1067636,357,111289,549,572847,547,245262,5489,351667283,1480,3273944,289,390612,4838,1587339,77,106413,3908,3836258,5032,9194566,68,44107,81,72971,38,90535,2360,669412,3476,714845,5116,11238751,40,510446,703,4722365,34,-209453,168,895957,78,91124.59,36,471338,10,131862,40,516701,91,1300861,87,366026.53,118,2905025,209,2912221,77,90359,70,51102,66,9742.46,598,9954344,565,7258956,279,1019353,605,5484609,128,702602,479,-4511176,607,-3808574,45,156460,17,69723,3,38600,251,409056,173,5080098,178,4657968,184,101202,87,179804.93,51,69799,80,8344,3105,837354.24,168,547599.1,185,3210392.31,17,161290,8,40610.75,1826,1583,840935,182,60839.38,260,55317.26
7114 Photographic Developers and Printers,Female,All,618,618,21523210,530,2556738.45,435,333087.34,3,1631.45,435,334718.79,492,2657654,5,15327.42,611,20041684,594,3031147,84,146109,12,38065,3,8388,69,375422,24,211281,1,3255,2,17055,341,173188,20,1666,83,149064,83,63851,618,22210962,136,190113,37,14364,443,120947,13,22166,365,206631,511,554221,4,312,9,2685,2,15336,219,40743,297,50317,527,678408,7,141741,37,275019,2,-22420,38,372083,18,17179.94,5,46615,0,0,18,231660,11,67203,8,15506.52,15,140510,18,445426,14,9190,14,9190,14,1856.36,50,1069686,43,339084,25,37822,50,387300,21,421164,28,-115684,50,305480,5,23155,0,0,0,0,7,14794,50,441459,46,322197,50,-72104,18,13942.02,2,1326,18,1520.3,493,184329.33,8,752.04,93,1611070.61,3,42855,0,0,286,249,143995,18,7723.55,21,6778.78
7114 Photographic Developers and Printers,Male,All,864,864,49845915,812,9535871.48,745,925713.81,8,14931.16,745,940644.97,785,10250407.15,15,58908.77,854,47537711,838,10378183,126,422666,20,183747,11,43795,38,193854,17,164726,9,88194,1,17571,456,280219,48,5790,141,299232,141,128131,864,51553786,244,549781,60,70822,586,162836,16,20865,581,522695,716,1326999,19,5746,18,23275,12,21106,312,86209,487,117960,760,1696113,17,234494,83,526328,0,0,57,551405,26,69624.1,10,104759,0,0,19,244330,21,1032886,20,362367.61,30,2074182,41,718944,22,48216,20,15847,20,1496.32,113,1772374,102,1018993,49,106245,113,924499,32,313138,82,-590501,114,-277363,8,329,4,76507,1,30000,53,82996,67,2524277,65,2110653,71,240545,35,93796.65,9,13225,34,4222.91,542,144565.14,26,51433.43,80,1363171,3,40380,1,11084.02,442,395,226533,29,8754.21,44,10898.07
7115 Plastics and Rubber Production Machine Operators,Female,"a. $18,200 or less",47,46,463516,0,0,0,0,0,0,0,0,0,0,0,0,43,360389,39,41892,2,9042,1,503,0,0,13,92993,0,0,0,0,0,0,23,16544,1,455,1,5127,1,2197,47,472601,1,139,0,0,13,2544,0,0,2,217,13,2900,1,73,0,0,0,0,5,190,15,1918,22,5081,0,0,0,0,1,-26719,3,3240,1,845.02,1,17327,0,0,0,0,0,0,0,0,1,329,1,10975,2,105,2,105,2,9.98,2,9386,2,12281,2,3577,2,5130,0,0,2,-11602,2,-11602,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35280,0,0,0,0,8,7,4842,0,0,0,0
7115 Plastics and Rubber Production Machine Operators,Female,"b. $18,201 to $37,000",126,126,3805441,126,287325.79,85,48218.82,0,0,85,48218.82,111,268106.87,0,0,124,3538734,123,470649,11,29192,6,39463,7,4070,14,94148,8,115300,0,0,0,0,53,34874,0,0,3,1626,3,696,126,3925405,11,14618,5,1713,105,30183,0,0,77,35778,114,82292,1,450,2,15244,0,0,45,9038,76,12454,115,119964,1,28749,10,19093,0,0,7,59421,2,357.3,4,40096,0,0,0,0,3,20892,1,54.99,3,42111,0,0,2,6266,1,188,1,30.62,12,128026,11,95959,9,15454,13,100779,2,3599,11,-87765,13,-84166,0,0,0,0,0,0,0,0,4,53671,3,28878,4,24793,2,108.19,0,0,4,155.76,120,52089.68,3,106.88,8,69839,1,2344,0,0,24,19,10388,4,592.41,1,1.68
7115 Plastics and Rubber Production Machine Operators,Female,"c. $37,001 to $80,000",313,313,15487474,313,2387639.24,291,286835.36,2,1147.96,291,287983.32,313,2561867.15,1,2380.4,313,15408318,312,2824108,37,38440,9,61467,5,41864,5,11121,13,107460,2,6461,1,18019,149,112928,5,3532,13,11623,13,4981,313,15971013,54,95440,10,4459,287,101229,2,785,234,172183,300,374096,0,0,12,1758,1,1793,192,57154,245,39029,303,483539,0,0,21,107439,1,-4084,4,10662,1,84.01,4,97166,1,4084,0,0,4,50862,4,10953.39,5,97583,7,100053,3,621,3,621,3,69.95,41,500971,37,324000,17,46128,41,225970,13,54657,28,-149784,41,-95127,1,220,0,0,0,0,7,9709,4,118036,4,47641,4,70395,4,7400.67,3,2770,3,253.71,289,82634.35,12,7984.41,5,144425,1,3673,0,0,67,66,26159,2,1039.48,5,519.8
7115 Plastics and Rubber Production Machine Operators,Female,"d. $80,001 to $180,000",16,16,1506108,16,364411.96,16,30122.16,1,1432.05,16,31554.21,16,377913.17,0,0,16,1271957,16,326528,1,54,1,17384,1,8065,0,0,0,0,1,87750,0,0,5,1884,0,0,3,9698,3,4156,16,1542336,3,7012,0,0,15,5457,0,0,12,12158,16,24627,0,0,0,0,0,0,9,3253,13,2478,16,36228,0,0,5,40555,0,0,0,0,0,0,0,0,0,0,0,0,1,53596,1,16078.8,1,53596,0,0,0,0,0,0,0,0,3,43459,2,16246,1,4512,3,16496,1,10295,2,-4090,3,6205,0,0,0,0,0,0,3,5870,0,0,0,0,0,0,0,0,1,13163,0,0,0,0,2,4890,0,0,0,0,0,0,5,5,3237,0,0,2,392.61
7115 Plastics and Rubber Production Machine Operators,Male,"a. $18,200 or less",264,264,3037531,1,241.87,0,0,0,0,0,0,0,0,0,0,247,2298084,240,315414,22,63964,3,14092,3,16542,87,645472,10,95914,0,0,0,0,64,13763,2,62,7,1274,7,545,264,3181327,13,23583,4,1524,91,20272,2,315,43,14613,98,60307,1,122,0,0,0,0,24,3119,60,11053,119,87954,0,0,6,4994,0,0,5,12329,0,0,4,17102,0,0,2,10153,0,0,0,0,0,0,1,49300,0,0,0,0,0,0,13,188090,12,152958,2,11059,13,99052,2,6987,11,-81966,13,-74979,0,0,0,0,0,0,7,13353,20,412771,17,364940,21,46152,0,0,0,0,0,0,1,241.87,0,0,27,462964.24,0,0,0,0,49,34,19356,2,405.2,2,2.8
7115 Plastics and Rubber Production Machine Operators,Male,"b. $18,201 to $37,000",663,663,18817516,663,1292508.01,423,217440.62,0,0,423,217440.62,559,1169834.7,0,0,654,17166118,641,2603249,65,116651,26,124778,18,39918,192,1150576,25,252862,6,42723,1,28,209,93633,12,1356,42,50839,42,21777,663,19654769,140,271831,30,40269,499,168296,14,29777,343,166339,541,676512,7,11817,8,528,2,2546,192,34379,333,74609,563,809347,2,15983,32,219989,3,-7342,20,168991,6,14970.32,24,222693,0,0,6,18804,5,102846,5,9643.17,7,254269,10,197646,7,12692,5,1445,5,172.72,46,685151,41,526148,27,124811,46,395984,11,54220,35,-416012,46,-361792,3,177,2,25981,0,0,11,8956,41,3929061,41,3722009,41,202510,28,17324,6,4598.68,22,832.62,622,262598.01,9,1342.03,38,590172,1,18214,5,19883.4,145,123,63331,12,1120.42,9,327.88
7115 Plastics and Rubber Production Machine Operators,Male,"c. $37,001 to $80,000",3080,3080,170856900,3080,29493469.48,2957,3195222.62,1,158.27,2957,3195380.89,3080,31971000.45,33,88870.13,3074,173339358,3072,35407900.03,480,801726,72,580424,65,236193,122,338431,31,184798,22,217181,5,99286,1180,443015,93,12264,218,248777,217,106478,3080,177734480,1051,2316903,235,394521,2861,1075993,62,82958,2311,1951781,2945,5822156,46,14144,45,3246,16,26396,1477,396880,2167,400438,2983,6861058,9,76932,252,1256783,5,-91059,64,311360,25,16828.96,43,714445,5,76467,33,259036,34,218703,34,45556.84,43,424319,73,927128,32,108134,26,6780,23,711.5,253,3611405,241,2452195,109,319168,255,1795448,59,294206,197,-1249612,256,-955406,19,57697,7,3130,1,5198,144,190473,103,2028599,106,1688583,110,246201,65,129428.1,25,38820,63,6784.64,2478,571675.05,118,49142.3,80,1205686.03,16,156394.58,5,21372.41,860,761,383447,80,19574.36,55,3461.33
7115 Plastics and Rubber Production Machine Operators,Male,"d. $80,001 to $180,000",766,766,78907827,766,19963447.9,760,1566044.46,56,62603.82,760,1628648.28,766,21384786.74,4,17430.3,765,77285750,764,21915162.19,183,459943,48,668255,82,990978,9,32523,1,8270,9,61764,2,35274,373,226397,40,4850,89,400868,89,171782,766,81405672,248,638330,75,170233,709,237075,32,30905,656,860067,748,1936610,19,7115,16,25049,5,3319,373,132109,570,153185,755,2497473,10,121310,135,880585,2,-873,40,328779,24,85148.31,6,140170,1,2448,4,73705,21,597026,21,172539.37,23,1725940,34,679268,19,27601,20,5142,16,1034.75,129,2253221,119,1446398,67,177265,129,1114160,39,241328,93,-725930,132,-484602,8,76883,3,67362,1,35000,87,204114,25,1091042,26,1052699,27,37484,18,62593.19,10,10988,16,2417,0,0,101,169089.68,4,56967,1,2836.4,0,0,409,361,207323,47,14137.51,102,22887.86
7115 Plastics and Rubber Production Machine Operators,Male,"e. $180,000 or more",31,31,7409639,31,2514294.55,31,144492.8,5,9951.11,31,154443.91,31,2580139.96,0,0,30,6076567,30,2208310,9,18971,2,19170,11,330134,0,0,0,0,1,17150,0,0,17,15461,2,371,6,226108,6,96902,31,7553228,12,24978,11,14874,26,8354,5,4875,24,56041,29,109122,0,0,0,0,0,0,15,6961,25,8476,30,143589,1,42888,8,111888,1,-1411,5,355758,2,64492.66,0,0,0,0,0,0,0,0,0,0,0,0,3,131826,1,89,1,89,1,11.12,11,197260,11,139003,6,26832,11,105367,1,3406,10,-77348,11,-73942,2,144841,0,0,0,0,8,19030,1,8925,1,1865,1,7060,1,2248.82,1,2573,1,115.43,0,0,11,118298.73,0,0,0,0,0,0,25,19,8892,3,395.36,17,6558.59
7116 Sewing Machinists,Female,All,5163,5159,177042952,4409,20268480.79,3370,2620847.78,29,25205.75,3370,2646053.53,3913,20604965.95,8,22062.86,5110,158480522,4748,22445731.64,280,714537,113,848698,68,415229,749,5075932,335,3546784,25,162491,12,195920,2699,2346930,210,86989,591,953842,590,408508,5161,181630929,619,936839,107,75519,3221,886537,34,34359,2738,1228823,3859,3162077,53,17716,115,55558,21,46574,1915,390774,2923,459444,4215,4491728,34,586565,278,1887940,21,118739,247,2711897,89,272156.17,40,271991,2,3496,44,299477,106,2205571,91,575919.93,136,5322679,181,2880905,107,240520,79,43089,82,9315.25,640,9278088,543,4607280,261,541355,644,4260609,289,1686826,358,-1817982,648,-131156,37,156822,13,57095,6,169043,98,188935,291,7236589,287,5273157,299,1723490,165,249719.63,26,30467.39,156,16838.47,4040,1480082.75,115,195528.07,196,3227625.2,30,236790,0,0,1904,1741,932352,122,39844.35,154,32155.64
7116 Sewing Machinists,Male,All,563,562,22216545,484,3014511.53,380,338472.51,2,1882.03,380,340354.54,452,3153576.32,5,13823.84,558,20818538,516,3449776,42,199436,10,98800,4,62057,70,430403,12,128173,3,33050,1,112,216,143935,19,1315,57,142668,57,61123,563,22875277,98,180894,12,21258,385,111306,4,2950,306,170503,433,486911,4,4026,7,4927,1,10051,168,42613,325,61178,467,644672,0,0,24,146362,0,0,32,292854,8,1989.36,4,22006,0,0,4,5514,8,144178,7,37702.77,10,606932,15,678944,8,11203,7,5488,6,1596.08,65,1005487,56,576543,28,63387,64,412313,29,182340,38,-229096,67,-46756,6,17683,2,513,0,0,16,34966,43,1297088,41,1016549,42,279523,28,37216.38,3,4956,31,2682.62,439,146148.82,9,15060.4,29,410182.03,3,19919,0,0,162,142,71763,12,4386.64,7,1710.47
7117 Textile and Footwear Production Machine Operators,Female,All,558,558,20949109,493,2653059.9,404,331907.2,3,495.89,404,332403.09,460,2730487.1,2,4210.56,555,19690282,536,3088116,48,68532,16,137324,11,35292,47,248647,25,205967,5,31606,0,0,273,249612,15,2416,59,92135,59,39471,558,21506271,53,89405,13,5944,407,129904,2,2584,337,190705,447,418542,7,4890,14,18884,2,6813,224,45557,345,51930,474,557162,4,101684,44,215653,4,-10024,16,346484,7,56716.58,5,62243,1,59642,2,7283,4,22590,3,3979.12,7,95841,16,769294,10,27170,7,15223,5,174.77,71,1027152,59,479975,25,45800,72,480455,35,233041,37,-212119,72,20922,3,17160,0,0,0,0,11,10546,17,222962,16,100564,17,54109,8,7935.49,5,4739,13,779.39,465,163742.2,15,34939.85,19,288679,2,4755,0,0,194,175,96378,12,3838.33,9,2102.15
7117 Textile and Footwear Production Machine Operators,Male,All,853,853,43154425,791,7364740.83,700,764418.16,11,9825.28,700,774243.44,771,7884605.52,4,12670.59,849,42049263,843,8588094,131,180929,25,236786,33,232020,72,486693,13,105946,7,68507,1,15827,325,226045,24,5237,63,107342,63,45996,853,44609776,187,378241,34,35854,701,240708,11,14721,552,442761,747,1112285,6,1211,12,3544,1,2327,366,95286,571,107200,769,1414973,6,69124,61,404244,2,17033,16,190352,5,12300.52,9,202273,1,2620,5,19478,11,298691,11,97256.99,14,621899,19,427926,5,14252,4,809,4,75.89,76,1189008,64,532803,31,60366,76,534445,35,352002,42,-290608,77,61394,6,1089,1,1010,0,0,23,93120,29,540181,29,588844,29,-48663,14,10723.93,8,11857,9,633.15,609,180469.02,38,35418.17,34,624259.84,2,44958,1,10932.37,223,203,106905,17,4577.46,21,4282.48
7119 Other Machine Operators,Female,All,5712,5710,270750916,5069,45518160.54,4495,4794580.97,82,82479.17,4496,4877060.14,4832,48075962.31,53,167739.53,5690,265340484,5595,54980665.48,1143,611684,124,1096829,135,1086136,502,2657105,203,2054078,53,344624,9,123627,2882,1608300,130,29971,506,451807,505,193288,5712,278793776,948,1494298,312,319798,4439,1402769,164,230715,3765,2746960,4866,6194540,55,31683,98,27788,27,26017,2597,725112,3442,619299,5020,7985052,707,11683769,687,2915735,13,-206054,207,1214099,120,150726.17,55,617316,5,82900,26,172323,81,1367327,76,332105.71,97,2663444,135,2404437,70,169472,58,70393,59,16494.01,725,10248184,661,6542105,355,880295,730,5310475,225,1128550,507,-3613241,732,-2484691,37,180506,11,16727,0,0,209,358450,100,5103796,94,5019543,106,17587,44,37281.3,54,54776,53,4195,4036,1266043.64,173,581047.31,493,8144968,42,443751,3,7166.69,2328,1908,1012977,288,81915.04,345,77427.06
7119 Other Machine Operators,Male,"a. $18,200 or less",1844,1823,18551331,18,22640.54,0,0,0,0,0,0,10,19787.35,0,0,1786,18031629,1684,2865287.74,255,127194,27,110978,37,83878,466,3416766,44,262704,6,34922,0,0,664,269239,27,3934,80,52923,79,22662,1837,20407685,89,173414,34,47536,581,132073,20,24639,348,222441,702,600103,13,6246,6,1665,2,74,123,48514,406,101257,849,889902,5,91241,53,97417,23,-614032,50,275501,12,6249.65,36,151491,5,139979,23,155082,11,43062,0,0,15,98154,30,686747,15,39697,11,14677,10,1824.27,110,2095921,102,1656466,50,201390,109,1227084,27,142426,82,-1131445,110,-989019,17,58373,2,6205,0,0,18,131793,123,7339973,112,8435196,130,-1332265,2,203.36,0,0,3,55.59,10,2797.6,0,0,212,4311443,10,93355,1,666.67,454,247,124689,38,8299.41,14,162.09
7119 Other Machine Operators,Male,"b. $18,201 to $37,000",3791,3791,106816980,3791,7241598.14,2369,1225790,1,609.01,2367,1225131.24,3185,6387762.43,2,5838.57,3750,96257601,3704,15732974.22,686,937883,114,632013,163,417719,1184,7675671,157,1842396,9,68250,4,68387,1420,605249,81,7365,200,314436,199,134688,3791,112563196,876,1875467,253,401141,2881,951531,101,161010,2064,1314232,3111,4703381,37,11924,35,70428,10,66076,984,257492,1938,388113,3267,5660900,57,1020105,171,1003903,14,-188029,121,1034138,27,41303.18,131,1061145,4,9594,39,525991,38,113231,33,7240.4,49,471586,86,2235622,50,140228,34,40702,30,11138.04,256,3805323,236,2676445,125,382785,257,2201444,64,305354,195,-1760705,259,-1455351,33,69363,6,30609,3,12500,74,145070,305,7761333,283,6164563,310,1431416,196,118088.98,9,5373.54,160,6790.8,3547,1491772.09,41,15617.92,411,8116796.8,25,431077.73,15,64481.89,833,651,334907,77,22352.12,39,3099.86
7119 Other Machine Operators,Male,"c. $37,001 to $80,000",16911,16911,967993445,16910,171688317.9,16361,18413783.68,33,18868.39,16361,18432652.07,16901,186228890.8,189,534427.58,16887,981271034,16869,210893141.8,3968,7453758,407,3177953,553,2578705,933,3109219,166,1230643,127,1008500,19,451519,6952,2762431,505,81547,1349,1220503,1343,522630,16911,1009840432,5540,13689045,1485,3235009,15391,5615608,421,583642,12947,12324580,16142,35447884,235,85720,222,125949,74,152718,7641,2194384,11968,2386939,16354,41721024,346,5452758,1549,8752310,80,-844406,407,2735488,171,217999.02,274,4544712,25,388562,130,1424314,183,1133290,183,229821.24,233,2504268,430,8573500,186,304279,156,41853,153,27323.19,1679,24184174,1582,17307728,836,2313336,1704,12967869,401,1863742,1301,-10271811,1704,-8408069,143,465245,34,192614,5,97000,788,1217358,674,15941085,662,13524097,694,1374335,463,813031.81,121,150602.01,377,36804,12703,2779550.29,879,423814.72,510,7726426.71,71,670390,19,105582.01,5049,4480,2165386,587,163198.84,333,26442.94
7119 Other Machine Operators,Male,"d. $80,001 to $180,000",8215,8215,885030751,8215,228480303.4,8175,17587007.93,655,798540.45,8177,18385548.38,8213,244466098.2,56,261725.97,8211,879794593,8210,257029643.6,2146,11445420,439,5550748,613,6925042,112,338889,11,60385,95,1423807,19,441876,3811,1673480,492,152686,1187,2216130,1184,949210,8215,915435951,3138,8766207,1138,3669814,7695,2476896,210,369529,6991,9949863,8020,25232309,220,106241,119,157386,112,231563,3990,1147250,6416,1717732,8110,30321869,332,2788515,1840,11047564,61,-439515,401,3463728,267,507389.84,74,1420052,17,240260,69,950236,220,3589493,219,1032412.46,284,7715132,453,10377383,214,502218,197,117774,191,77149.08,1420,23324163,1353,16664054,781,2583862,1437,13004351,292,1652678,1151,-10580782,1444,-8928104,88,349205,29,205012,2,65000,766,1639134,193,8275718,209,8057870,219,-301735,109,345013.58,91,211862,117,23355.71,0,0,832,1687051.14,61,838373,13,148777,5,18358.67,4788,4161,2355169,846,284961.19,1261,337111.75
7119 Other Machine Operators,Male,"e. $180,000 or more",400,400,87675983,400,28873442.27,395,1704781.41,102,238926.26,395,1939645.93,399,29115824.05,1,1758,397,72211299,396,26559362,91,1284826,72,1750922,133,5765371,2,3624,3,9705,6,52682,3,99881,220,219529,20,25749,86,2194381,86,940427,400,89378483,118,280865,71,150554,343,110763,20,41977,323,550989,379,1135148,19,12215,5,24786,12,77822,192,60842,333,165739,393,1702500,23,471744,117,875985,5,-34672,35,965689,21,273640.68,0,0,3,372344,5,39860,16,925344,16,328059.88,29,2718801,40,1014453,28,874644,24,27484,26,382425.82,98,2031228,92,1419105,61,266465,99,1113491,21,155095,78,-922928,99,-767833,9,92539,0,0,1,30000,48,195948,12,411167,13,345139,13,-323707,6,30785.5,4,7688,9,2048.44,0,0,114,1592936.03,1,1758,0,0,0,0,318,261,148985,33,9468.15,220,97114.55
"7121 Crane, Hoist and Lift Operators",Female,All,181,181,9807691,135,2051774.04,121,173658.07,11,9018.12,120,182505.19,124,2174197.36,6,29563.44,181,9526617,177,2624546.31,62,171335,9,59724,19,179235,36,148524,4,39719,2,42417,1,2079,100,38643,4,310,10,15449,10,6620,181,10245626,57,136472,30,44522,129,52808,13,21393,105,112660,135,367855,5,1015,1,20,2,4686,77,17075,86,32216,143,437935,4,25914,24,122287,2,1031,14,76484,10,453.26,6,33048,0,0,2,5766,4,38626,4,10822.01,5,77312,11,314737,12,24892,9,3251,11,2497.64,21,322718,21,258691,11,39341,22,247528,3,8319,18,-231161,22,-222842,6,30927,1,1547,0,0,10,15068,4,18091,3,13045,5,2912,2,1137.12,2,5042.28,2,131,70,23913.75,18,24337.08,35,504185.28,2,11651.97,0,0,104,68,32472,12,2018.12,22,6265.59
"7121 Crane, Hoist and Lift Operators",Male,"a. $18,200 or less",323,320,2923911,3,3360.82,0,0,0,0,0,0,1,3084.9,0,0,300,3508344,285,742454,78,78105,8,38653,28,88906,64,412939,17,129502,1,6581,1,5987,148,87668,18,6747,36,19001,36,8132,322,3399682,30,61976,15,8782,115,27872,5,6643,90,80298,142,185571,4,7981,0,0,2,73,42,5339,118,41768,188,252659,1,8441,19,13677,8,-525388,20,93274,9,6425.28,3,55048,0,0,3,49957,12,97537,0,0,14,191409,16,310742,9,7060,7,3937,10,1657.91,50,949844,37,735749,27,142397,48,655568,15,69481,36,-653351,51,-583870,2,24,1,136,0,0,6,11927,33,867609,32,1121993,33,-260454,0,0,0,0,0,0,2,275.92,0,0,28,407467,1,13366,2,4666.69,148,108,66113,21,6842.12,7,11.03
