Income year,Lodgment method,Gender,Taxable status,State / Territory,Age range,"Number of individuals
no.","Salary or wages 
no.","Salary or wages 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Taxable income or loss 
no.","Taxable income or loss 
$","Net tax 
no.","Net tax 
$"
2013–14,Agent,Female,Taxable,WA,l. 70 - 74,4374,1495,52926939,4374,393769341,330,680811,61,105204,545,113389,10,7765,837,617027,1877,2323613,2560,1678575,3491,20235105,847,55104951,972,22395050,185,-1707146,1157,20687904,197,21032719,182,15825425,203,5146988,4374,372502437,4374,96655174
2013–14,Agent,Female,Taxable,WA,m. 75 and over,7734,398,13318073,7734,677592057,82,183690,10,15865,101,19890,0,0,166,156718,3808,7032431,5294,3680104,6372,17549890,1824,50043212,1557,40854333,135,-848758,1692,40005575,177,21554676,176,17011827,193,4050794,7734,659373438,7734,164745610
2013–14,Agent,Male,Non Taxable,ACT,a. Under 18,351,227,1754754,348,2377975,11,22621,1,158,63,10880,5,3612,36,12741,10,906,17,2228,92,53515,17,43563,0,0,0,0,0,0,2,24822,1,4133,2,20689,348,2324461,0,0
2013–14,Agent,Male,Non Taxable,ACT,b. 18 - 24,1707,1563,18634008,1701,23157112,168,486140,20,33919,499,97234,64,85586,400,200357,81,10866,335,58539,831,985241,26,67467,0,0,19,-242415,19,-242415,106,2225419,77,1499589,108,687121,1699,22126075,0,0
2013–14,Agent,Male,Non Taxable,ACT,c. 25 - 29,719,550,6979317,703,8883870,64,215154,13,41969,177,38456,10,56850,141,105371,46,17893,206,61613,338,563841,8,6961,6,9987,45,-555804,51,-545817,132,5788835,116,5008827,131,722498,703,8282067,0,0
2013–14,Agent,Male,Non Taxable,ACT,d. 30 - 34,663,421,5492562,643,8236683,66,211737,12,40928,132,35958,7,78417,146,107352,47,19788,239,87974,349,657771,18,32700,17,107326,84,-886970,101,-779644,163,8113796,137,7081294,167,987844,638,7394685,0,0
2013–14,Agent,Male,Non Taxable,ACT,e. 35 - 39,576,320,4411413,559,6448114,43,104284,13,21478,97,23362,7,18494,104,79537,42,12590,231,214217,325,690278,19,37906,25,108664,99,-1201619,124,-1092955,152,8527620,143,7583695,157,447485,543,5253562,0,0
2013–14,Agent,Male,Non Taxable,ACT,f. 40 - 44,532,258,3915110,503,5864863,32,112034,8,19088,71,13904,4,4020,89,75671,54,18747,215,119065,311,623335,16,301522,37,170824,85,-1058024,122,-887200,152,15487405,149,14568088,156,581312,497,4715544,0,0
2013–14,Agent,Male,Non Taxable,ACT,g. 45 - 49,582,234,4040578,556,6989636,36,90029,7,3303,71,15244,8,40694,95,77482,50,47247,255,118919,336,1018526,24,211127,51,257380,99,-1731536,150,-1474156,169,10591944,164,9579190,174,683304,539,5172592,0,0
2013–14,Agent,Male,Non Taxable,ACT,h. 50 - 54,530,182,2669801,501,5614473,24,59357,5,1440,59,11173,2,11540,77,49067,45,23089,221,128684,304,496329,26,240655,42,205277,100,-1439272,142,-1233995,150,7745206,147,6666507,155,892058,486,4573604,0,0
2013–14,Agent,Male,Non Taxable,ACT,i. 55 - 59,508,155,3042131,487,8011653,26,85711,7,7857,43,7970,1,2343,69,105507,66,51662,236,130581,312,1115529,23,171478,49,381794,117,-1729709,166,-1347915,147,8338488,144,7473640,149,706026,477,6152244,0,0
2013–14,Agent,Male,Non Taxable,ACT,j. 60 - 64,722,197,3574836,706,11012572,35,109608,5,5014,53,9194,1,1609,76,60360,129,92610,348,318819,449,2094984,51,661261,84,641120,127,-1563003,211,-921883,163,10441498,165,9261002,169,948718,687,7782971,0,0
2013–14,Agent,Male,Non Taxable,ACT,k. 65 - 69,1034,253,3342799,1023,18936725,39,112213,9,15013,72,14609,1,1302,96,80877,280,204433,568,2105879,701,3039335,81,505487,116,993000,113,-1513099,229,-520099,155,6651326,153,5530017,160,422075,1002,15231005,0,0
2013–14,Agent,Male,Non Taxable,ACT,l. 70 - 74,753,133,1449116,749,14502504,17,23816,6,25176,29,4599,1,2000,40,24866,218,250393,421,189406,494,990134,54,220067,101,806754,50,-491685,151,315069,97,8802719,100,8442810,97,-62388,735,13011643,0,0
2013–14,Agent,Male,Non Taxable,ACT,m. 75 and over,981,57,554367,978,20781735,4,5301,2,1496,5,576,0,0,17,9257,319,610533,598,234509,690,1122943,120,253353,111,995759,31,-325728,142,670031,52,1477848,52,1287231,61,-38497,975,19556584,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,a. Under 18,2,2,7959,2,9122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1650,1,529,1,1121,2,9122,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,b. 18 - 24,370,354,3875034,366,3988564,6,7872,7,1525,118,26579,0,0,50,7862,4,740,72,11831,181,61678,1,84,0,0,6,-29094,6,-29094,4,47783,3,20605,4,27178,367,3926886,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,c. 25 - 29,528,449,5179650,511,5412940,10,14421,8,5244,145,29134,3,23722,84,36116,8,1162,136,27919,255,145169,5,40483,4,7584,38,-281236,42,-273652,10,175544,7,64292,10,103187,513,5250948,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,d. 30 - 34,427,193,2230809,380,1825064,4,8507,6,1159,41,8215,1,746,32,17336,11,992,128,30963,205,94458,3,41506,20,46014,148,-1170561,168,-1124547,7,89668,6,42541,7,40544,375,1674877,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,e. 35 - 39,455,60,789948,408,-1499549,3,4387,1,70,7,831,2,23517,14,6154,3,2208,137,50578,226,164251,9,346218,48,113496,299,-2915802,347,-2802306,4,44504,5,20444,5,11843,377,-2025882,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,f. 40 - 44,551,44,412043,512,-2100585,0,0,3,8950,11,1046,0,0,14,7547,8,16184,158,58097,321,247850,22,759556,87,474385,372,-4094075,459,-3619690,8,99372,9,111392,11,-24347,444,-3449193,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,g. 45 - 49,465,25,329165,431,-1942633,4,2952,1,2190,7,593,1,14494,6,2155,9,4052,151,71965,272,311858,17,215811,87,460661,304,-3652483,391,-3191822,11,322099,12,348528,12,-180343,372,-2621749,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,h. 50 - 54,350,21,240866,323,-1692483,0,0,0,0,4,715,0,0,10,6420,6,2119,121,49003,224,211904,6,247096,58,368939,236,-2642401,294,-2273462,5,126257,5,110989,7,-1613,280,-2347618,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,i. 55 - 59,309,15,204636,288,-653433,0,0,1,1255,5,906,0,0,5,20247,6,3495,95,39387,185,205190,6,196241,70,416754,188,-1818378,258,-1401624,4,20360,4,10065,4,10295,240,-1383911,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,j. 60 - 64,190,14,161151,172,-370605,1,520,0,0,7,1503,0,0,2,319,2,861,64,22285,116,73901,5,150096,40,188779,111,-1006107,151,-817328,0,0,0,0,0,0,145,-760637,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,k. 65 - 69,118,9,87481,110,-92529,0,0,0,0,3,243,0,0,2,341,0,0,37,7848,68,27825,3,147155,30,237268,63,-813902,93,-576634,0,0,0,0,0,0,85,-452859,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,l. 70 - 74,56,1,15000,47,123901,0,0,0,0,0,0,0,0,0,0,2,13495,23,7795,35,25007,1,216,18,88116,21,-87227,39,889,2,7310,2,7758,2,-14601,39,38811,0,0
2013–14,Agent,Male,Non Taxable,Overseas or unknown,m. 75 and over,37,0,0,33,470844,0,0,0,0,0,0,0,0,0,0,2,1560,21,4293,23,6559,1,1792,9,108968,9,-36546,18,72422,0,0,0,0,0,0,26,325890,0,0
2013–14,Agent,Male,Non Taxable,NSW,a. Under 18,10005,7631,68458511,9918,78141919,214,497888,98,114485,2275,487005,504,576598,1819,825556,212,12482,515,72843,3314,2677393,227,382666,2,15104,2,-14987,4,117,88,924032,51,326904,90,596904,9915,75462588,0,0
2013–14,Agent,Male,Non Taxable,NSW,b. 18 - 24,51758,47769,547945500,51576,672754597,3430,9250474,868,1513149,14482,3295945,2586,4472010,11658,6075348,2176,271554,8940,1249552,22198,26613983,368,825879,145,722331,283,-1829331,428,-1107000,3093,68744199,2419,46535066,3117,21200582,51563,645434455,0,0
2013–14,Agent,Male,Non Taxable,NSW,c. 25 - 29,25329,20013,229307931,24930,319664209,1213,3441060,338,572489,4579,1069258,312,1351066,4145,2340077,1062,274549,5565,1127343,9298,10795862,188,515372,284,1466571,695,-5734625,979,-4268054,4342,237593449,3739,203427662,4375,31077766,24897,306714909,0,0
2013–14,Agent,Male,Non Taxable,NSW,d. 30 - 34,19499,12321,153698151,18961,243761683,931,2592320,303,513900,3315,781179,198,788976,3082,2176102,965,336674,5345,1567501,8112,10718490,284,1706307,599,3346459,1303,-11111009,1902,-7764550,4905,275544104,4516,239185269,4955,32437035,18773,223642203,0,0
2013–14,Agent,Male,Non Taxable,NSW,e. 35 - 39,16666,8330,110984120,16070,198047119,803,2306875,209,539778,2556,587073,131,465933,2396,1566704,946,433872,5261,4118412,7526,12994494,369,3915143,883,4826508,1568,-13441454,2451,-8614946,4986,322482543,4747,290093432,5044,25573989,15724,168820647,0,0
2013–14,Agent,Male,Non Taxable,NSW,f. 40 - 44,18928,8188,117943842,18206,219179138,868,2845233,278,750879,2793,625577,109,312676,2597,2119147,1285,814277,6306,4794606,8914,18617254,524,4552234,1148,7083990,1958,-21868538,3106,-14784548,5911,466032198,5733,433821467,5979,25063420,17698,178804921,0,0
2013–14,Agent,Male,Non Taxable,NSW,g. 45 - 49,19212,7554,112764912,18564,224907981,815,2552048,266,624385,2571,569844,93,285941,2488,1976089,1391,731634,6511,5559150,9110,22573504,611,13290144,1415,9581748,1928,-21926888,3343,-12345140,6231,709854348,6067,681693179,6331,19850462,17895,167426298,0,0
2013–14,Agent,Male,Non Taxable,NSW,h. 50 - 54,21653,7632,114560624,20977,241000548,844,2727983,276,772395,2703,584502,67,164605,2484,1755957,1655,2208051,7289,8407938,10268,30666816,860,11493016,1939,14162003,2221,-26486104,4160,-12324101,7066,633305599,6937,603646184,7197,17580520,20122,172536955,0,0
2013–14,Agent,Male,Non Taxable,NSW,i. 55 - 59,22737,7397,108315550,22217,321872557,839,2374081,238,605210,2572,523953,54,129960,2418,1749847,2129,1690183,8256,6966207,11166,31783810,1013,10518102,2348,17003399,2139,-23396883,4487,-6393484,6892,689776273,6760,652298356,6988,22341269,21415,246209259,0,0
2013–14,Agent,Male,Non Taxable,NSW,j. 60 - 64,29243,8693,112487278,28721,322430413,993,2709974,301,727976,2882,572260,33,64623,3134,2232949,3899,3050779,11933,8802917,15502,39961563,1776,17997366,4007,29903267,2486,-22182226,6493,7721041,6734,537922377,6586,513385046,6867,9275036,27814,246141480,0,0
2013–14,Agent,Male,Non Taxable,NSW,k. 65 - 69,36753,10006,130122173,36470,601655319,1225,3112574,365,699202,3411,665244,24,33448,3610,1980274,6857,8430466,16337,69010191,20545,101530965,2609,19225958,5820,49562945,2117,-15703010,7937,33859935,6169,442013084,6116,410106823,6373,3244237,35627,468728558,0,0
2013–14,Agent,Male,Non Taxable,NSW,l. 70 - 74,23607,4301,49671692,23460,383272295,516,1317067,161,269391,1162,218944,8,32836,1434,931506,5002,4648142,10738,5488848,13289,23560605,1989,9334426,3715,34394251,821,-7343056,4536,27051195,3057,174780424,3005,175788449,3168,-8181013,22992,341121147,0,0
2013–14,Agent,Male,Non Taxable,NSW,m. 75 and over,30542,2027,22051779,30389,556127536,250,581806,60,126763,357,63615,3,4292,599,405921,7745,9822036,15725,8085884,18319,25831126,3871,11849034,3997,39439787,478,-3496206,4475,35943581,2317,132651560,2340,140281600,2430,-11468750,30009,507812376,0,0
2013–14,Agent,Male,Non Taxable,NT,a. Under 18,350,311,2752750,348,3006496,8,9696,1,436,113,20971,3,1798,71,21824,4,82,20,3088,152,58429,7,10035,0,0,0,0,0,0,4,26202,3,1994,4,24208,348,2948067,0,0
2013–14,Agent,Male,Non Taxable,NT,b. 18 - 24,1626,1581,18453966,1625,21432470,89,237126,13,19557,629,142954,22,76114,400,206331,49,11805,288,53242,812,748888,5,5100,1,13763,3,-51377,4,-37614,45,623442,31,360413,45,263029,1624,20636877,0,0
2013–14,Agent,Male,Non Taxable,NT,c. 25 - 29,922,836,10540484,921,14164399,45,118014,10,49308,360,88321,15,90441,216,120567,37,7542,249,48556,475,532958,1,525,4,12725,11,-113711,15,-100986,89,4956622,72,3149076,89,1764187,920,12614426,0,0
2013–14,Agent,Male,Non Taxable,NT,d. 30 - 34,662,550,6670945,657,9324406,34,72695,9,29932,262,62792,7,50854,176,119906,33,4604,223,72888,373,432069,6,17705,8,74885,24,-292828,32,-217943,93,5212655,82,4546968,94,569454,653,8762340,0,0
2013–14,Agent,Male,Non Taxable,NT,e. 35 - 39,529,412,5249326,521,7910370,21,67755,9,11364,210,42994,7,21984,127,110151,29,6097,203,53157,316,359721,4,8624,14,109904,23,-176527,37,-66623,83,6134436,79,5537616,86,499499,515,7261413,0,0
2013–14,Agent,Male,Non Taxable,NT,f. 40 - 44,485,345,4600027,472,6327653,18,36114,4,4999,185,35790,7,13568,99,89328,25,3126,200,91718,288,324581,4,38212,19,83943,41,-540053,60,-456110,88,6444601,81,6724948,88,-310616,465,5644582,0,0
2013–14,Agent,Male,Non Taxable,NT,g. 45 - 49,411,265,3649334,407,6188187,18,42835,5,30833,146,29868,2,11022,86,59699,30,8380,173,72528,247,309867,3,46094,10,50704,34,-440065,44,-389361,107,9751976,106,9070342,107,684963,403,5597264,0,0
2013–14,Agent,Male,Non Taxable,NT,h. 50 - 54,441,258,3669401,433,5365414,18,55373,3,8770,143,26153,1,584,99,50822,27,8199,200,127356,264,348238,6,42236,32,214997,50,-739793,82,-524796,109,10758935,105,10123346,109,389441,426,4273496,0,0
2013–14,Agent,Male,Non Taxable,NT,i. 55 - 59,403,178,2658080,392,7055018,11,16043,2,1037,100,21004,0,0,56,33610,32,10849,179,71015,236,271982,16,969128,33,353449,52,-594469,85,-241020,118,8750458,120,8904012,121,-381211,380,5369700,0,0
2013–14,Agent,Male,Non Taxable,NT,j. 60 - 64,419,160,2085256,414,9507636,15,22337,4,1877,76,16382,0,0,48,62089,44,15216,196,91075,244,515875,14,113332,65,456249,49,-486174,114,-29925,122,12825933,119,12731056,125,-374469,396,4797930,0,0
2013–14,Agent,Male,Non Taxable,NT,k. 65 - 69,505,192,2587517,497,9252052,18,41053,4,20128,88,15530,0,0,65,47614,83,37705,250,99725,312,355068,25,170386,99,875144,34,-201844,133,673300,103,6003025,101,5645268,103,347896,488,8490648,0,0
2013–14,Agent,Male,Non Taxable,NT,l. 70 - 74,299,75,956705,296,5583350,9,27188,2,2216,33,5958,0,0,21,18874,50,40499,132,54379,167,225788,19,152540,50,418860,13,-68608,63,350252,50,3372997,52,3214611,52,19483,288,4877965,0,0
2013–14,Agent,Male,Non Taxable,NT,m. 75 and over,205,27,333949,203,3593426,3,3544,0,0,9,1297,0,0,7,22346,42,14482,110,42313,128,110875,20,22011,27,321091,9,-40598,36,280493,21,424370,20,470808,21,-46438,201,3467776,0,0
2013–14,Agent,Male,Non Taxable,QLD,a. Under 18,7324,5788,52000730,7270,58710396,136,288651,62,106051,1991,395261,66,61099,1110,472670,237,13154,357,43862,2603,1406831,148,300410,1,9471,1,-7989,2,1482,70,715809,51,247771,70,468181,7270,57303440,0,0
2013–14,Agent,Male,Non Taxable,QLD,b. 18 - 24,28530,26223,301779449,28414,380158818,2172,6444228,508,1132082,9607,2089994,378,817308,6427,3317882,1333,166360,5675,833594,13994,15042729,219,638751,37,181747,99,-690340,136,-508593,1854,41376810,1496,29200597,1872,11517628,28399,364688910,0,0
2013–14,Agent,Male,Non Taxable,QLD,c. 25 - 29,14068,10887,124479589,13885,182278311,778,2129099,214,490123,2941,667178,100,474007,2503,1506279,669,149975,3478,806122,5999,6733052,137,547215,111,415391,409,-3334504,520,-2919113,2618,100408878,2216,83084670,2639,15547243,13862,174166443,0,0
2013–14,Agent,Male,Non Taxable,QLD,d. 30 - 34,10312,6460,84243584,10110,138591548,744,2140837,182,506798,2311,541086,98,577812,1859,1386757,638,191898,3462,1255160,5224,7659986,153,1034729,226,1001504,825,-7291177,1051,-6289673,2607,145341173,2342,131809080,2636,10613229,10001,125925021,0,0
2013–14,Agent,Male,Non Taxable,QLD,e. 35 - 39,9162,4476,64149705,8895,119522399,661,1903117,185,594765,1865,433327,58,176880,1508,1402007,665,219464,3474,1659561,4974,8342627,240,1687723,356,1567935,1000,-8655654,1356,-7087719,2600,221609660,2476,211020063,2633,6888999,8670,101756417,0,0
2013–14,Agent,Male,Non Taxable,QLD,f. 40 - 44,11282,4759,71113920,10901,139704699,719,2170974,192,532372,2051,459652,57,129544,1658,1265330,906,410253,4213,2432209,6087,11257594,387,3202764,585,2984426,1387,-14149859,1972,-11165433,3263,408282586,3197,402438437,3303,-5560009,10565,113681584,0,0
2013–14,Agent,Male,Non Taxable,QLD,g. 45 - 49,11594,4409,69464804,11222,138825440,596,1791980,222,673862,1901,402832,62,166726,1619,1239031,870,296135,4349,2738498,6280,13299647,448,4593799,689,4264440,1535,-16671449,2224,-12407009,3355,336395496,3332,329829662,3410,700587,10807,104924711,0,0
2013–14,Agent,Male,Non Taxable,QLD,h. 50 - 54,12861,4312,72879544,12466,165595420,642,2075686,201,745850,1854,395487,49,138236,1616,1445366,1071,588967,4685,5086946,6810,17403529,529,7684796,986,6133370,1791,-20239115,2777,-14105745,3725,409365870,3681,401565226,3805,-723449,11880,114506346,0,0
2013–14,Agent,Male,Non Taxable,QLD,i. 55 - 59,14297,4351,67112701,13953,223955694,626,1793944,177,725183,1850,380842,28,65927,1628,1295176,1396,499875,5685,2950919,7760,17745181,721,6427163,1349,8376296,2031,-20575597,3380,-12199301,3791,335813433,3770,326680408,3886,-3034135,13371,173853500,0,0
2013–14,Agent,Male,Non Taxable,QLD,j. 60 - 64,18895,5099,74047120,18510,199770197,683,1951889,209,583177,1959,387702,24,19250,1877,1451541,2366,1042547,7951,4311958,10499,22966503,1201,10576778,2535,16208971,2254,-21192827,4789,-4983856,4054,264834007,4020,259315123,4167,-5949090,17826,151146633,0,0
2013–14,Agent,Male,Non Taxable,QLD,k. 65 - 69,23019,5759,79616946,22809,356190343,806,2224730,220,516497,2314,406573,14,13349,2118,1216903,3953,4103652,10679,9135077,13412,29222983,1681,11544621,3377,22749938,1892,-15101178,5269,7648760,3772,284131017,3742,274302654,3899,156300,22068,304187757,0,0
2013–14,Agent,Male,Non Taxable,QLD,l. 70 - 74,13983,2329,27323415,13894,213813934,302,850908,80,95450,721,132121,4,1323,754,562702,2718,1527198,6540,3196578,7999,12536106,1274,7005819,2037,15170994,745,-4920087,2782,10250907,1875,126921657,1855,126777892,1938,-7891511,13496,186628896,0,0
2013–14,Agent,Male,Non Taxable,QLD,m. 75 and over,16035,853,9787593,15945,290564688,138,390155,34,49719,201,37372,3,2330,261,198263,3945,4150517,8674,2903051,9983,12541915,2162,7781995,1830,14538040,395,-2039760,2225,12498280,1237,101174106,1273,109386376,1309,-29719902,15657,262417901,0,0
2013–14,Agent,Male,Non Taxable,SA,a. Under 18,2158,1529,11496113,2141,13512511,30,44403,2,1236,441,76717,11,10057,399,113549,20,3266,69,9866,703,262109,86,112677,0,0,0,0,0,0,20,208255,12,66811,20,141444,2141,13250402,0,0
2013–14,Agent,Male,Non Taxable,SA,b. 18 - 24,8860,7865,90078926,8819,120954821,841,1938985,98,166282,3377,703236,199,536249,2718,1160072,363,41002,1639,272213,4866,4883953,93,491350,17,81889,55,-385626,72,-303737,698,11849926,519,6759226,700,4973154,8818,116016949,0,0
2013–14,Agent,Male,Non Taxable,SA,c. 25 - 29,3935,2737,30137485,3866,53452810,274,586296,56,90924,995,222061,43,132874,829,430078,176,47245,1090,259179,1889,1909142,45,153002,37,124534,139,-1003599,176,-879065,1041,28464418,688,20600567,1047,7587253,3848,50532922,0,0
2013–14,Agent,Male,Non Taxable,SA,d. 30 - 34,3473,1886,22453119,3389,43924830,226,512892,51,116187,738,155214,30,147196,610,396767,171,49927,1061,419534,1692,2251270,75,465596,93,424978,280,-2152844,373,-1727866,1120,60278642,888,53761084,1134,5600803,3343,39519241,0,0
2013–14,Agent,Male,Non Taxable,SA,e. 35 - 39,3211,1507,17732734,3110,34895330,211,660669,45,73914,634,140230,23,94454,522,327103,228,51068,1012,555381,1596,2842788,79,371495,146,639657,308,-2389945,454,-1750288,988,62790031,878,56780975,1001,4668561,3037,28965262,0,0
2013–14,Agent,Male,Non Taxable,SA,f. 40 - 44,3876,1564,18834087,3741,44499544,221,546380,38,117640,677,145131,16,46317,554,327737,232,80834,1232,661490,1888,3090158,118,864899,222,1100142,374,-2948701,596,-1848559,1162,67924404,1104,61236191,1175,5317559,3618,36699229,0,0
2013–14,Agent,Male,Non Taxable,SA,g. 45 - 49,4103,1483,19568293,3958,52124593,233,586768,48,139508,636,135814,13,55173,562,370636,298,109959,1293,491261,1971,3452035,158,1021903,268,1570429,442,-4317529,710,-2747100,1317,100240385,1276,92746324,1330,4992818,3821,40705854,0,0
2013–14,Agent,Male,Non Taxable,SA,h. 50 - 54,4748,1495,20605871,4603,52001839,230,645492,57,150763,652,131280,16,47928,564,468190,333,118877,1408,1292932,2185,4817164,216,1396556,357,1856401,535,-4887505,892,-3031104,1565,145278032,1523,137772177,1581,5101559,4453,41583278,0,0
2013–14,Agent,Male,Non Taxable,SA,i. 55 - 59,4929,1555,21354850,4828,69958594,269,657955,43,86569,612,125281,8,7360,624,466422,459,160003,1635,814937,2438,5207106,234,1477982,447,2317068,563,-5437269,1010,-3120201,1442,101352758,1400,93114181,1454,6650021,4681,58704835,0,0
2013–14,Agent,Male,Non Taxable,SA,j. 60 - 64,6344,1930,23930485,6226,70861753,289,672084,64,184886,686,126930,10,30105,798,499142,857,362663,2211,840950,3254,7666086,361,2591067,699,3719388,603,-5140242,1302,-1420854,1517,83370957,1481,76167656,1561,5405263,6030,57639487,0,0
2013–14,Agent,Male,Non Taxable,SA,k. 65 - 69,8112,2227,27494946,8050,135136315,384,959169,71,116931,802,142597,5,5633,886,565497,1589,788827,3241,1339990,4450,7772765,593,3316201,929,5926066,498,-3056602,1427,2869464,1499,93017866,1452,83654648,1509,7012562,7840,120539594,0,0
2013–14,Agent,Male,Non Taxable,SA,l. 70 - 74,4940,822,8715782,4916,86219134,138,307761,29,70309,239,40834,1,1812,296,170625,1128,913166,2160,839069,2787,4596259,460,1666254,554,4038488,167,-1282643,721,2755845,689,39428196,672,36926806,702,1103979,4823,78039962,0,0
2013–14,Agent,Male,Non Taxable,SA,m. 75 and over,6256,324,3251749,6237,118595406,69,184507,19,57910,71,12225,1,690,106,89589,1865,1479816,3177,1152716,3847,4453122,806,2198273,611,4730508,80,-277564,691,4452944,469,23351369,466,23945916,486,-1252051,6169,112507462,0,0
2013–14,Agent,Male,Non Taxable,TAS,a. Under 18,770,595,5113788,769,5797187,22,47988,3,8663,225,49153,24,17039,172,72378,11,172,46,6685,302,203197,19,29030,0,0,0,0,0,0,1,1785,1,900,1,885,768,5593980,0,0
2013–14,Agent,Male,Non Taxable,TAS,b. 18 - 24,2638,2406,27022786,2631,36695798,232,551181,49,50847,1094,241183,82,93815,750,375880,116,39168,605,71879,1481,1440444,22,25066,3,3301,8,-63097,11,-59796,170,3207647,140,2264844,167,798257,2629,35210897,0,0
2013–14,Agent,Male,Non Taxable,TAS,c. 25 - 29,1034,777,8435593,1026,15569087,102,232297,21,11549,358,79409,17,37643,247,135562,78,13950,403,122657,596,653179,8,13420,9,23241,28,-137447,37,-114206,213,10251926,201,8852213,215,1368849,1020,14524655,0,0
2013–14,Agent,Male,Non Taxable,TAS,d. 30 - 34,853,534,5838212,837,11367529,65,141771,13,28398,287,64911,5,18201,196,116391,63,13069,377,88211,521,557735,10,33448,26,84797,44,-194778,70,-109981,254,18325641,242,17218741,254,839240,830,10417189,0,0
2013–14,Agent,Male,Non Taxable,TAS,e. 35 - 39,887,471,5839954,867,11008807,55,106087,18,37535,234,49492,3,9165,168,137776,62,29454,387,91463,535,791681,14,72329,25,109154,62,-482469,87,-373315,266,22068323,255,21203732,264,521293,848,9442820,0,0
2013–14,Agent,Male,Non Taxable,TAS,f. 40 - 44,1157,523,6509235,1132,15723098,93,230325,18,23356,262,59111,13,34343,193,127680,85,23418,453,124703,659,969222,29,416009,50,205497,80,-420475,130,-214978,381,23953565,375,22640473,382,876188,1108,12946393,0,0
2013–14,Agent,Male,Non Taxable,TAS,g. 45 - 49,1280,521,6304729,1251,13768020,70,143693,13,60684,242,52026,7,5370,183,98574,103,33474,509,137169,691,892137,47,305998,89,445612,99,-874930,188,-429318,465,33886442,459,32159776,468,769594,1197,11319457,0,0
2013–14,Agent,Male,Non Taxable,TAS,h. 50 - 54,1584,575,7220514,1551,19868175,75,189652,13,39627,282,57850,4,3075,228,124697,122,42428,598,2776085,827,3935855,79,2427987,114,723544,130,-893425,244,-169881,583,38241536,584,36034505,592,1047309,1498,13819451,0,0
2013–14,Agent,Male,Non Taxable,TAS,i. 55 - 59,1790,536,6577124,1764,24699348,70,201943,13,33648,245,47660,1,326,199,112655,167,75310,700,220621,937,1479019,76,631545,166,862676,132,-1011098,298,-148422,571,33645344,565,31317739,580,1606434,1707,20672884,0,0
2013–14,Agent,Male,Non Taxable,TAS,j. 60 - 64,2371,766,9328935,2338,27165009,103,242760,23,26218,318,59087,0,0,297,147715,362,118634,1023,445658,1321,2900643,119,592990,282,1433779,145,-1364816,427,68963,633,34161878,622,32646914,647,-519426,2275,22357822,0,0
2013–14,Agent,Male,Non Taxable,TAS,k. 65 - 69,2848,791,9715085,2835,48498558,127,339887,25,31632,321,54979,3,3155,313,162772,511,322841,1271,349663,1574,2410107,166,1370542,336,2281336,129,-645950,465,1635386,573,29861799,569,28479938,592,369979,2773,41892390,0,0
2013–14,Agent,Male,Non Taxable,TAS,l. 70 - 74,1655,297,3344486,1644,27867878,46,118585,5,10344,96,16804,0,0,89,111370,322,323217,764,199912,914,1181558,144,1378221,185,1363385,48,-253235,233,1110150,280,23205035,280,23286727,294,-953571,1621,25546755,0,0
2013–14,Agent,Male,Non Taxable,TAS,m. 75 and over,1881,126,1302477,1874,36449941,20,35528,7,39428,34,6814,0,0,39,39322,490,407578,1010,291753,1156,1152069,213,463208,178,1188642,23,-86646,201,1101996,183,10049339,190,10037569,193,-283798,1856,34686178,0,0
2013–14,Agent,Male,Non Taxable,VIC,a. Under 18,7391,5187,39551798,7289,47765484,28,44026,35,30846,1373,293411,163,151954,1149,416571,193,6491,295,31971,2076,988159,229,373476,1,2800,5,-7353,6,-4553,46,401425,30,162641,45,230010,7286,46773195,0,0
